ENSG	NextprotID	GeneName	gene_id	gene_type	Chr	start	end	ProteinEvidence	PE	Missing	strand	unknown_function
ENSG00000001626	NX_P13569	CFTR	ENSG00000001626.14	protein_coding	7	117465784	117715971	protein	PE1	0	+	0
ENSG00000001629	NX_Q9P2G1	ANKIB1	ENSG00000001629.9	protein_coding	7	92246234	92401384	protein	PE1	0	+	0
ENSG00000001630	NX_Q16850	CYP51A1	ENSG00000001630.15	protein_coding	7	92112151	92142952	protein	PE1	0	-	0
ENSG00000001631	NX_O00522	KRIT1	ENSG00000001631.15	protein_coding	7	92198969	92246166	protein	PE1	0	-	0
ENSG00000002016	NX_P43351	RAD52	ENSG00000002016.17	protein_coding	12	912077	990053	protein	PE1	0	-	0
ENSG00000002079	NX_Q9H6N6	MYH16	ENSG00000002079.14	transcribed_unitary_pseudogene	7	99238829	99311130	protein	PE1	0	+	0
ENSG00000002330	NX_Q92934	BAD	ENSG00000002330.13	protein_coding	11	64269830	64284704	protein	PE1	0	-	0
ENSG00000002549	NX_P28838	LAP3	ENSG00000002549.12	protein_coding	4	17577192	17607972	protein	PE1	0	+	0
ENSG00000002586	NX_P14209	CD99	ENSG00000002586.19;ENSG00000002586.19_PAR_Y	protein_coding	X	2691133	2741309	protein	PE1	0	+	0
ENSG00000002587	NX_O14792	HS3ST1	ENSG00000002587.9	protein_coding	4	11393150	11429765	protein	PE1	0	-	0
ENSG00000002726	NX_P19801	AOC1	ENSG00000002726.20	protein_coding	7	150824627	150861504	protein	PE1	0	+	0
ENSG00000002745	NX_Q9UBV4	WNT16	ENSG00000002745.12	protein_coding	7	121325367	121341104	protein	PE1	0	+	0
ENSG00000002746	NX_Q76N89	HECW1	ENSG00000002746.14	protein_coding	7	43112599	43566001	protein	PE1	0	+	0
ENSG00000002822	NX_Q9Y6D9	MAD1L1	ENSG00000002822.15	protein_coding	7	1815793	2233243	protein	PE1	0	-	0
ENSG00000002834	NX_Q14847	LASP1	ENSG00000002834.17	protein_coding	17	38869859	38921770	protein	PE1	0	+	0
ENSG00000002919	NX_Q9Y5W9	SNX11	ENSG00000002919.14	protein_coding	17	48103357	48123074	protein	PE1	0	+	0
ENSG00000002933	NX_Q96HP8	TMEM176A	ENSG00000002933.7	protein_coding	7	150800403	150805120	protein	PE1	0	+	0
ENSG00000003056	NX_P20645	M6PR	ENSG00000003056.7	protein_coding	12	8940363	8949955	protein	PE1	0	-	0
ENSG00000003096	NX_Q9P2N7	KLHL13	ENSG00000003096.14	protein_coding	X	117897813	118117340	protein	PE1	0	-	0
ENSG00000003137	NX_Q9NR63	CYP26B1	ENSG00000003137.8	protein_coding	2	72129238	72148038	protein	PE1	0	-	0
ENSG00000003147	NX_Q05084	ICA1	ENSG00000003147.17	protein_coding	7	8113184	8262687	protein	PE1	0	-	0
ENSG00000003249	NX_Q9H9R9	DBNDD1	ENSG00000003249.13	protein_coding	16	90004865	90020128	protein	PE1	0	-	1
ENSG00000003393	NX_Q96Q42	ALS2	ENSG00000003393.14	protein_coding	2	201700554	201781189	protein	PE1	0	-	0
ENSG00000003400	NX_Q92851	CASP10	ENSG00000003400.14	protein_coding	2	201182881	201229406	protein	PE1	0	+	0
ENSG00000003402	NX_O15519	CFLAR	ENSG00000003402.19	protein_coding	2	201116104	201176687	protein	PE1	0	+	0
ENSG00000003436	NX_P10646	TFPI	ENSG00000003436.15	protein_coding	2	187464230	187565760	protein	PE1	0	-	0
ENSG00000003509	NX_Q7L592	NDUFAF7	ENSG00000003509.15	protein_coding	2	37231631	37253403	protein	PE1	0	+	0
ENSG00000003756	NX_P52756	RBM5	ENSG00000003756.16	protein_coding	3	50088908	50119021	protein	PE1	0	+	0
ENSG00000003987	NX_Q9Y216	MTMR7	ENSG00000003987.13	protein_coding	8	17298030	17413528	protein	PE1	0	-	0
ENSG00000003989	NX_P52569	SLC7A2	ENSG00000003989.17	protein_coding	8	17497088	17570573	protein	PE1	0	+	0
ENSG00000004059	NX_P84085	ARF5	ENSG00000004059.10	protein_coding	7	127588345	127591705	protein	PE1	0	+	0
ENSG00000004139	NX_Q6SZW1	SARM1	ENSG00000004139.13	protein_coding	17	28364356	28404049	protein	PE1	0	+	0
ENSG00000004142	NX_Q9Y2S7	POLDIP2	ENSG00000004142.11	protein_coding	17	28347177	28357522	protein	PE1	0	-	0
ENSG00000004399	NX_Q9Y4D7	PLXND1	ENSG00000004399.12	protein_coding	3	129555175	129606818	protein	PE1	0	-	0
ENSG00000004455	NX_P54819	AK2	ENSG00000004455.16	protein_coding	1	33007940	33080996	protein	PE1	0	-	0
ENSG00000004468	NX_P28907	CD38	ENSG00000004468.12	protein_coding	4	15778275	15853230	protein	PE1	0	+	0
ENSG00000004478	NX_Q02790	FKBP4	ENSG00000004478.7	protein_coding	12	2794953	2805423	protein	PE1	0	+	0
ENSG00000004487	NX_O60341	KDM1A	ENSG00000004487.16	protein_coding	1	23019443	23083689	protein	PE1	0	+	0
ENSG00000004534	NX_P78332	RBM6	ENSG00000004534.14	protein_coding	3	49940007	50100045	protein	PE1	0	+	0
ENSG00000004660	NX_Q8N5S9	CAMKK1	ENSG00000004660.14	protein_coding	17	3860315	3894891	protein	PE1	0	-	0
ENSG00000004700	NX_P46063	RECQL	ENSG00000004700.15	protein_coding	12	21468911	21501669	protein	PE1	0	-	0
ENSG00000004766	NX_Q96JG6	VPS50	ENSG00000004766.15	protein_coding	7	93232340	93361121	protein	PE1	0	+	0
ENSG00000004776	NX_O14558	HSPB6	ENSG00000004776.12	protein_coding	19	35754569	35758079	protein	PE1	0	-	0
ENSG00000004777	NX_O14559	ARHGAP33	ENSG00000004777.18	protein_coding	19	35774532	35788822	protein	PE1	0	+	0
ENSG00000004779	NX_O14561	NDUFAB1	ENSG00000004779.9	protein_coding	16	23581002	23596356	protein	PE1	0	-	0
ENSG00000004799	NX_Q16654	PDK4	ENSG00000004799.7	protein_coding	7	95583499	95596491	protein	PE1	0	-	0
ENSG00000004809	NX_Q86VW1	SLC22A16	ENSG00000004809.13	protein_coding	6	110424687	110476641	protein	PE1	0	-	0
ENSG00000004838	NX_O75800	ZMYND10	ENSG00000004838.13	protein_coding	3	50341110	50346852	protein	PE1	0	-	0
ENSG00000004846	NX_Q2M3G0	ABCB5	ENSG00000004846.16	protein_coding	7	20615207	20777038	protein	PE1	0	+	0
ENSG00000004848	NX_Q96QS3	ARX	ENSG00000004848.7	protein_coding	X	25003694	25016420	protein	PE1	0	-	0
ENSG00000004864	NX_Q9UJS0	SLC25A13	ENSG00000004864.13	protein_coding	7	96120220	96322147	protein	PE1	0	-	0
ENSG00000004866	NX_Q9NRC1	ST7	ENSG00000004866.20	protein_coding	7	116953238	117230103	protein	PE1	0	+	0
ENSG00000004897	NX_P30260	CDC27	ENSG00000004897.11	protein_coding	17	47117703	47189422	protein	PE1	0	-	0
ENSG00000004939	NX_P02730	SLC4A1	ENSG00000004939.14	protein_coding	17	44248385	44268141	protein	PE1	0	-	0
ENSG00000004948	NX_P30988	CALCR	ENSG00000004948.13	protein_coding	7	93424487	93574730	protein	PE1	0	-	0
ENSG00000004961	NX_P53701	HCCS	ENSG00000004961.14	protein_coding	X	11111301	11123078	protein	PE1	0	+	0
ENSG00000004975	NX_O14641	DVL2	ENSG00000004975.11	protein_coding	17	7225341	7234545	protein	PE1	0	-	0
ENSG00000005001	NX_Q9GZN4	PRSS22	ENSG00000005001.9	protein_coding	16	2852727	2858170	protein	PE1	0	-	0
ENSG00000005007	NX_Q92900	UPF1	ENSG00000005007.12	protein_coding	19	18831938	18868236	protein	PE1	0	+	0
ENSG00000005020	NX_O75563	SKAP2	ENSG00000005020.12	protein_coding	7	26667062	26995239	protein	PE1	0	-	0
ENSG00000005022	NX_P05141	SLC25A5	ENSG00000005022.5	protein_coding	X	119468400	119471319	protein	PE1	0	+	0
ENSG00000005059	NX_Q9NWR8	MCUB	ENSG00000005059.15	protein_coding	4	109560205	109688726	protein	PE1	0	+	0
ENSG00000005073	NX_P31270	HOXA11	ENSG00000005073.5	protein_coding	7	27181510	27185223	protein	PE1	0	-	0
ENSG00000005075	NX_P52435	POLR2J	ENSG00000005075.15	protein_coding	7	102473118	102478907	protein	PE1	0	-	0
ENSG00000005100	NX_Q9H6R0	DHX33	ENSG00000005100.12	protein_coding	17	5440912	5469060	protein	PE1	0	-	0
ENSG00000005102	NX_P50221	MEOX1	ENSG00000005102.12	protein_coding	17	43640388	43661954	protein	PE1	0	-	0
ENSG00000005108	NX_Q9UPZ6	THSD7A	ENSG00000005108.15	protein_coding	7	11370357	11832198	protein	PE1	0	-	0
ENSG00000005156	NX_P49916	LIG3	ENSG00000005156.11	protein_coding	17	34980494	35009743	protein	PE1	0	+	0
ENSG00000005175	NX_Q9H6T3	RPAP3	ENSG00000005175.9	protein_coding	12	47661249	47706061	protein	PE1	0	-	0
ENSG00000005187	NX_Q53FZ2	ACSM3	ENSG00000005187.11	protein_coding	16	20610243	20797581	protein	PE1	0	+	0
ENSG00000005189	NX_Q96IC2	REXO5	ENSG00000005189.19	protein_coding	16	20806429	20849668	protein	PE1	0	+	0
ENSG00000005194	NX_Q6FI81	CIAPIN1	ENSG00000005194.14	protein_coding	16	57428169	57447528	protein	PE1	0	-	0
ENSG00000005206	NX_Q8TCT7	SPPL2B	ENSG00000005206.16	protein_coding	19	2328615	2354806	protein	PE1	0	+	0
ENSG00000005238	NX_Q7L5A3	FAM214B	ENSG00000005238.19	protein_coding	9	35104112	35116341	protein	PE1	0	-	1
ENSG00000005243	NX_Q9P299	COPZ2	ENSG00000005243.9	protein_coding	17	48026167	48038030	protein	PE1	0	-	0
ENSG00000005249	NX_P31323	PRKAR2B	ENSG00000005249.12	protein_coding	7	107044649	107161811	protein	PE1	0	+	0
ENSG00000005302	NX_Q8N5Y2	MSL3	ENSG00000005302.17	protein_coding	X	11758159	11775753	protein	PE1	0	+	0
ENSG00000005339	NX_Q92793	CREBBP	ENSG00000005339.14	protein_coding	16	3725054	3880726	protein	PE1	0	-	0
ENSG00000005379	NX_O95153	TSPOAP1	ENSG00000005379.15	protein_coding	17	58301228	58328760	protein	PE1	0	-	0
ENSG00000005381	NX_P05164	MPO	ENSG00000005381.7	protein_coding	17	58269856	58280935	protein	PE1	0	-	0
ENSG00000005421	NX_P27169	PON1	ENSG00000005421.8	protein_coding	7	95297676	95324707	protein	PE1	0	-	0
ENSG00000005436	NX_P16383	GCFC2	ENSG00000005436.13	protein_coding	2	75652000	75710989	protein	PE1	0	-	0
ENSG00000005448	NX_Q9H977	WDR54	ENSG00000005448.16	protein_coding	2	74421678	74425755	protein	PE1	0	+	0
ENSG00000005469	NX_Q9UKG9	CROT	ENSG00000005469.11	protein_coding	7	87345681	87399795	protein	PE1	0	+	0
ENSG00000005471	NX_P21439	ABCB4	ENSG00000005471.16	protein_coding	7	87401697	87480435	protein	PE1	0	-	0
ENSG00000005483	NX_Q8IZD2	KMT2E	ENSG00000005483.20	protein_coding	7	105014179	105114361	protein	PE1	0	+	0
ENSG00000005486	NX_Q6NTF9	RHBDD2	ENSG00000005486.16	protein_coding	7	75842602	75888926	protein	PE1	0	+	0
ENSG00000005513	NX_P57073	SOX8	ENSG00000005513.9	protein_coding	16	981808	986979	protein	PE1	0	+	0
ENSG00000005700	NX_Q9P2D0	IBTK	ENSG00000005700.14	protein_coding	6	82169983	82247754	protein	PE1	0	-	0
ENSG00000005801	NX_O14628	ZNF195	ENSG00000005801.16	protein_coding	11	3339261	3379222	protein	PE1	0	-	0
ENSG00000005810	NX_O75592	MYCBP2	ENSG00000005810.17	protein_coding	13	77044655	77327050	protein	PE1	0	-	0
ENSG00000005812	NX_Q9UKT7	FBXL3	ENSG00000005812.10	protein_coding	13	76992598	77027195	protein	PE1	0	-	0
ENSG00000005844	NX_P20701	ITGAL	ENSG00000005844.17	protein_coding	16	30472658	30523185	protein	PE1	0	+	0
ENSG00000005882	NX_Q15119	PDK2	ENSG00000005882.11	protein_coding	17	50094737	50112152	protein	PE1	0	+	0
ENSG00000005884	NX_P26006	ITGA3	ENSG00000005884.17	protein_coding	17	50055968	50090481	protein	PE1	0	+	0
ENSG00000005889	NX_P17010	ZFX	ENSG00000005889.15	protein_coding	X	24149173	24216255	protein	PE1	0	+	0
ENSG00000005893	NX_P13473	LAMP2	ENSG00000005893.15	protein_coding	X	120427827	120469365	protein	PE1	0	-	0
ENSG00000005961	NX_P08514	ITGA2B	ENSG00000005961.17	protein_coding	17	44372180	44389505	protein	PE1	0	-	0
ENSG00000005981	NX_Q9Y574	ASB4	ENSG00000005981.12	protein_coding	7	95478444	95540232	protein	PE1	0	+	0
ENSG00000006007	NX_Q9NZC3	GDE1	ENSG00000006007.11	protein_coding	16	19501689	19522145	protein	PE1	0	-	0
ENSG00000006015	NX_Q96EN9	REX1BD	ENSG00000006015.17	protein_coding	19	18588685	18592336	protein	PE1	0	+	1
ENSG00000006016	NX_O75462	CRLF1	ENSG00000006016.10	protein_coding	19	18572220	18607741	protein	PE1	0	-	0
ENSG00000006025	NX_Q9BZF2	OSBPL7	ENSG00000006025.11	protein_coding	17	47807372	47821834	protein	PE1	0	-	0
ENSG00000006042	NX_Q9Y2Y6	TMEM98	ENSG00000006042.11	protein_coding	17	32927910	32945106	protein	PE1	0	+	0
ENSG00000006047	NX_Q9Y2T7	YBX2	ENSG00000006047.12	protein_coding	17	7288252	7294615	protein	PE1	0	-	0
ENSG00000006059	NX_O76009	KRT33A	ENSG00000006059.3	protein_coding	17	41346092	41350812	protein	PE1	0	-	0
ENSG00000006062	NX_Q99558	MAP3K14	ENSG00000006062.14	protein_coding	17	45263121	45317040	protein	PE1	0	-	0
ENSG00000006071	NX_Q09428	ABCC8	ENSG00000006071.13	protein_coding	11	17392498	17476879	protein	PE1	0	-	0
ENSG00000006116	NX_O60359	CACNG3	ENSG00000006116.3	protein_coding	16	24255553	24362801	protein	PE1	0	+	0
ENSG00000006118	NX_Q24JP5	TMEM132A	ENSG00000006118.14	protein_coding	11	60924463	60937159	protein	PE1	0	+	0
ENSG00000006125	NX_P63010	AP2B1	ENSG00000006125.17	protein_coding	17	35578046	35726409	protein	PE1	0	+	0
ENSG00000006128	NX_P20366	TAC1	ENSG00000006128.11	protein_coding	7	97731908	97740472	protein	PE1	0	+	0
ENSG00000006194	NX_O14978	ZNF263	ENSG00000006194.9	protein_coding	16	3263800	3301401	protein	PE1	0	+	0
ENSG00000006210	NX_P78423	CX3CL1	ENSG00000006210.6	protein_coding	16	57372458	57385048	protein	PE1	0	+	0
ENSG00000006282	NX_Q8TB22	SPATA20	ENSG00000006282.20	protein_coding	17	50543058	50555852	protein	PE1	0	+	0
ENSG00000006283	NX_O43497	CACNA1G	ENSG00000006283.17	protein_coding	17	50561068	50627474	protein	PE1	0	+	0
ENSG00000006327	NX_Q9NP84	TNFRSF12A	ENSG00000006327.13	protein_coding	16	3018445	3022383	protein	PE1	0	+	0
ENSG00000006377	NX_P56179	DLX6	ENSG00000006377.10	protein_coding	7	97005548	97011039	protein	PE1	0	+	0
ENSG00000006432	NX_P80192	MAP3K9	ENSG00000006432.15	protein_coding	14	70722526	70809534	protein	PE1	0	-	0
ENSG00000006451	NX_P11233	RALA	ENSG00000006451.7	protein_coding	7	39623483	39708124	protein	PE1	0	+	0
ENSG00000006453	NX_Q9UHR4	BAIAP2L1	ENSG00000006453.13	protein_coding	7	98291651	98401068	protein	PE1	0	-	0
ENSG00000006459	NX_Q6ZMT4	KDM7A	ENSG00000006459.10	protein_coding	7	140084746	140177035	protein	PE1	0	-	0
ENSG00000006468	NX_P50549	ETV1	ENSG00000006468.13	protein_coding	7	13891228	13991425	protein	PE1	0	-	0
ENSG00000006530	NX_Q53H12	AGK	ENSG00000006530.15	protein_coding	7	141551189	141655244	protein	PE1	0	+	0
ENSG00000006534	NX_P43353	ALDH3B1	ENSG00000006534.15	protein_coding	11	68008578	68029282	protein	PE1	0	+	0
ENSG00000006555	NX_Q5TAA0	TTC22	ENSG00000006555.10	protein_coding	1	54779712	54801267	protein	PE1	0	-	1
ENSG00000006576	NX_Q8N3S3	PHTF2	ENSG00000006576.16	protein_coding	7	77798792	77957503	protein	PE1	0	+	0
ENSG00000006606	NX_Q9Y258	CCL26	ENSG00000006606.8	protein_coding	7	75769533	75789896	protein	PE1	0	-	0
ENSG00000006607	NX_O94887	FARP2	ENSG00000006607.13	protein_coding	2	241356243	241494841	protein	PE1	0	+	0
ENSG00000006611	NX_Q9Y6N9	USH1C	ENSG00000006611.15	protein_coding	11	17493895	17544416	protein	PE1	0	-	0
ENSG00000006625	NX_O75223	GGCT	ENSG00000006625.17	protein_coding	7	30496621	30504844	protein	PE1	0	-	0
ENSG00000006634	NX_Q9UBU7	DBF4	ENSG00000006634.7	protein_coding	7	87876216	87909541	protein	PE1	0	+	0
ENSG00000006638	NX_P21731	TBXA2R	ENSG00000006638.11	protein_coding	19	3594506	3606840	protein	PE1	0	-	0
ENSG00000006652	NX_O00458	IFRD1	ENSG00000006652.13	protein_coding	7	112422968	112481017	protein	PE1	0	+	0
ENSG00000006659	NX_Q8TCE9	LGALS14	ENSG00000006659.12	protein_coding	19	39704306	39709444	protein	PE1	0	+	0
ENSG00000006695	NX_Q12887	COX10	ENSG00000006695.10	protein_coding	17	14069496	14208677	protein	PE1	0	+	0
ENSG00000006704	NX_Q9UHL9	GTF2IRD1	ENSG00000006704.10	protein_coding	7	74453790	74602604	protein	PE1	0	+	0
ENSG00000006712	NX_Q8N7H5	PAF1	ENSG00000006712.14	protein_coding	19	39385852	39391195	protein	PE1	0	-	0
ENSG00000006715	NX_P49754	VPS41	ENSG00000006715.15	protein_coding	7	38722963	38932394	protein	PE1	0	-	0
ENSG00000006740	NX_Q17R89	ARHGAP44	ENSG00000006740.16	protein_coding	17	12789539	12991643	protein	PE1	0	+	0
ENSG00000006744	NX_Q9BQ52	ELAC2	ENSG00000006744.18	protein_coding	17	12992391	13018187	protein	PE1	0	-	0
ENSG00000006747	NX_Q9Y6U3	SCIN	ENSG00000006747.14	protein_coding	7	12570577	12660179	protein	PE1	0	+	0
ENSG00000006756	NX_P51689	ARSD	ENSG00000006756.15	protein_coding	X	2903970	2929351	protein	PE1	0	-	0
ENSG00000006757	NX_P41247	PNPLA4	ENSG00000006757.11	protein_coding	X	7898247	7927739	protein	PE1	0	-	0
ENSG00000006788	NX_Q9UKX3	MYH13	ENSG00000006788.13	protein_coding	17	10300865	10373130	protein	PE1	0	-	0
ENSG00000006831	NX_Q86V24	ADIPOR2	ENSG00000006831.9	protein_coding	12	1688574	1788678	protein	PE1	0	+	0
ENSG00000006837	NX_Q8IVW4	CDKL3	ENSG00000006837.11	protein_coding	5	134286350	134371047	protein	PE1	0	-	0
ENSG00000007001	NX_O95045	UPP2	ENSG00000007001.12	protein_coding	2	157876702	158136154	protein	PE1	0	+	0
ENSG00000007038	NX_Q9Y6M0	PRSS21	ENSG00000007038.10	protein_coding	16	2817180	2826304	protein	PE1	0	+	0
ENSG00000007047	NX_Q96L34	MARK4	ENSG00000007047.14	protein_coding	19	45079288	45305283	protein	PE1	0	+	0
ENSG00000007062	NX_O43490	PROM1	ENSG00000007062.11	protein_coding	4	15963076	16084378	protein	PE1	0	-	0
ENSG00000007080	NX_Q96CT7	CCDC124	ENSG00000007080.10	protein_coding	19	17933016	17943991	protein	PE1	0	+	0
ENSG00000007129	NX_Q3KPI0	CEACAM21	ENSG00000007129.17	protein_coding	19	41549518	41586844	protein	PE1	0	+	1
ENSG00000007168	NX_P43034	PAFAH1B1	ENSG00000007168.12	protein_coding	17	2593210	2685615	protein	PE1	0	+	0
ENSG00000007171	NX_P35228	NOS2	ENSG00000007171.17	protein_coding	17	27756766	27800499	protein	PE1	0	-	0
ENSG00000007174	NX_Q9NYC9	DNAH9	ENSG00000007174.17	protein_coding	17	11598431	11969748	protein	PE1	0	+	0
ENSG00000007202	NX_Q14667	KIAA0100	ENSG00000007202.14	protein_coding	17	28614440	28645454	protein	PE1	0	-	0
ENSG00000007216	NX_Q13183	SLC13A2	ENSG00000007216.14	protein_coding	17	28473293	28497781	protein	PE1	0	+	0
ENSG00000007237	NX_O60861	GAS7	ENSG00000007237.18	protein_coding	17	9910609	10198551	protein	PE1	0	-	0
ENSG00000007255	NX_O75865	TRAPPC6A	ENSG00000007255.10	protein_coding	19	45162928	45178237	protein	PE1	0	-	0
ENSG00000007264	NX_P42679	MATK	ENSG00000007264.14	protein_coding	19	3777970	3802129	protein	PE1	0	-	0
ENSG00000007306	NX_Q14002	CEACAM7	ENSG00000007306.14	protein_coding	19	41673307	41706976	protein	PE1	0	-	0
ENSG00000007312	NX_P40259	CD79B	ENSG00000007312.12	protein_coding	17	63928740	63932354	protein	PE1	0	-	0
ENSG00000007314	NX_P35499	SCN4A	ENSG00000007314.12	protein_coding	17	63938554	63972918	protein	PE1	0	-	0
ENSG00000007341	NX_Q8TDW4	ST7L	ENSG00000007341.18	protein_coding	1	112523518	112620825	protein	PE1	0	-	0
ENSG00000007350	NX_P51854	TKTL1	ENSG00000007350.16	protein_coding	X	154295671	154330350	protein	PE1	0	+	0
ENSG00000007372	NX_P26367	PAX6	ENSG00000007372.22	protein_coding	11	31784779	31818062	protein	PE1	0	-	0
ENSG00000007376	NX_Q9UJJ7	RPUSD1	ENSG00000007376.7	protein_coding	16	784974	788397	protein	PE1	0	-	0
ENSG00000007384	NX_Q96CC6	RHBDF1	ENSG00000007384.15	protein_coding	16	58059	76355	protein	PE1	0	-	0
ENSG00000007392	NX_Q9NQ29	LUC7L	ENSG00000007392.16	protein_coding	16	188969	229463	protein	PE1	0	-	0
ENSG00000007402	NX_Q9NY47	CACNA2D2	ENSG00000007402.11	protein_coding	3	50362799	50504244	protein	PE1	0	-	0
ENSG00000007516	NX_O94812	BAIAP3	ENSG00000007516.13	protein_coding	16	1333601	1349441	protein	PE1	0	+	0
ENSG00000007520	NX_Q9UJK0	TSR3	ENSG00000007520.3	protein_coding	16	1349240	1351911	protein	PE1	0	-	0
ENSG00000007541	NX_Q9BRB3	PIGQ	ENSG00000007541.16	protein_coding	16	566995	584136	protein	PE1	0	+	0
ENSG00000007545	NX_Q96RY5	CRAMP1	ENSG00000007545.15	protein_coding	16	1612325	1677908	protein	PE1	0	+	0
ENSG00000007866	NX_Q99594	TEAD3	ENSG00000007866.19	protein_coding	6	35473597	35497076	protein	PE1	0	-	0
ENSG00000007908	NX_P16581	SELE	ENSG00000007908.15	protein_coding	1	169722641	169764705	protein	PE1	0	-	0
ENSG00000007923	NX_Q9NVH1	DNAJC11	ENSG00000007923.15	protein_coding	1	6634168	6701924	protein	PE1	0	-	0
ENSG00000007933	NX_P31513	FMO3	ENSG00000007933.12	protein_coding	1	171090877	171117819	protein	PE1	0	+	0
ENSG00000007944	NX_Q8WY64	MYLIP	ENSG00000007944.14	protein_coding	6	16129125	16148248	protein	PE1	0	+	0
ENSG00000007952	NX_Q9Y5S8	NOX1	ENSG00000007952.17	protein_coding	X	100843324	100874345	protein	PE1	0	-	0
ENSG00000007968	NX_Q14209	E2F2	ENSG00000007968.6	protein_coding	1	23506430	23531220	protein	PE1	0	-	0
ENSG00000008018	NX_P20618	PSMB1	ENSG00000008018.8	protein_coding	6	170535117	170553341	protein	PE1	0	-	0
ENSG00000008056	NX_P17600	SYN1	ENSG00000008056.13	protein_coding	X	47571898	47619943	protein	PE1	0	-	0
ENSG00000008083	NX_Q92833	JARID2	ENSG00000008083.13	protein_coding	6	15246296	15522040	protein	PE1	0	+	0
ENSG00000008086	NX_O76039	CDKL5	ENSG00000008086.11	protein_coding	X	18425583	18653629	protein	PE1	0	+	0
ENSG00000008118	NX_Q96NX5	CAMK1G	ENSG00000008118.9	protein_coding	1	209583717	209613938	protein	PE1	0	+	0
ENSG00000008128	NX_Q9UQ88	CDK11A	ENSG00000008128.22	protein_coding	1	1702730	1724324	protein	PE1	0	-	0
ENSG00000008130	NX_O95544	NADK	ENSG00000008130.15	protein_coding	1	1751232	1780457	protein	PE1	0	-	0
ENSG00000008196	NX_Q92481	TFAP2B	ENSG00000008196.12	protein_coding	6	50818723	50847613	protein	PE1	0	+	0
ENSG00000008197	NX_Q7Z6R9	TFAP2D	ENSG00000008197.4	protein_coding	6	50713828	50772988	transcript	PE2	1	+	0
ENSG00000008226	NX_Q9Y238	DLEC1	ENSG00000008226.19	protein_coding	3	38039205	38124025	protein	PE1	0	+	0
ENSG00000008256	NX_O43739	CYTH3	ENSG00000008256.15	protein_coding	7	6161776	6272644	protein	PE1	0	-	0
ENSG00000008277	NX_Q9P0K1	ADAM22	ENSG00000008277.14	protein_coding	7	87934143	88202889	protein	PE1	0	+	0
ENSG00000008282	NX_Q16563	SYPL1	ENSG00000008282.8	protein_coding	7	106090503	106112576	protein	PE1	0	-	0
ENSG00000008283	NX_P49447	CYB561	ENSG00000008283.15	protein_coding	17	63432304	63446378	protein	PE1	0	-	0
ENSG00000008294	NX_O60271	SPAG9	ENSG00000008294.20	protein_coding	17	50962174	51120865	protein	PE1	0	-	0
ENSG00000008300	NX_Q9NYQ7	CELSR3	ENSG00000008300.16	protein_coding	3	48636469	48662915	protein	PE1	0	-	0
ENSG00000008311	NX_Q9UDR5	AASS	ENSG00000008311.14	protein_coding	7	122075647	122144280	protein	PE1	0	-	0
ENSG00000008323	NX_Q3KR16	PLEKHG6	ENSG00000008323.15	protein_coding	12	6310436	6328506	protein	PE1	0	+	0
ENSG00000008324	NX_Q9UHA2	SS18L2	ENSG00000008324.11	protein_coding	3	42581840	42595114	protein	PE1	0	+	0
ENSG00000008382	NX_Q8N594	MPND	ENSG00000008382.15	protein_coding	19	4343527	4360086	protein	PE1	0	+	0
